,CustomerID,Name,Email,Phone,Date Joined,Country,Purchase Amount,Product Codes 1,Product Codes 2,Product Codes 3,Notes,Address,DOB,Gender,Membership,Feedback,Last Purchase Date,Subscription Plan,Preferred Contact,Customer Last Login,IP Address,Promo Code,Loyalty Points,Account Status,Referral,Notes2,Weight(kg),Height(cm),Distance Travelled(miles),Temperature(C),Volume(gallon)
0,1008, Amanda  Stevens ,kristinawoods@gmail.com,Invaild Phone Number,2025-03-19,USA,249.73,D456,C345,B234,Repeat Customer,"41546 Sandy Plains Suite 799, West Jaime, MA 58656",1973-04-07,M,Silver,Indecisive,2025-09-05,Basic,Email,2025-05-23 07:56:00,Invaild IP,FREE50,300,Inactive,Amanda Stevens,Check Address,80.6,178.05,12.3,28.22,3.83
1,1012,Kenneth  Marshall  ,annabrown@gmail.com,Invaild Phone Number,2025-04-16,USA,278.33,B234,D456,D456,Complaint Free,"17398 Young Branch Suite 608, Arianachester, TX 91852",1971-05-28,No Gender,Silver,Unsatisfied,2025-07-01,Basic,Email,2025-03-27 18:34:00,Invaild IP,Promo Free,489,Inactive,Johnsonmark,No Comment,45.31,192.02,27.8,25.39,1.11
2,1078,  Elizabeth  Wilkins ,sevans@gmail.com,Invaild Phone Number,2023-09-03,USA,289.82,A123,C345,C345,Complaint Free,"6703 Megan Square, Chaseview, AL 77844",1989-07-08,M,Silver,Satisfied,2025-09-08,Basic,Phone,2025-01-03 22:38:00,Invaild IP,SUMMER2023,369,Inactive,Elizabeth Wilkins,No Comment,89.6,163.0,27.9,27.7,2.84
3,1059, Shelly Schneider,tom51@gmail.com,Invaild Phone Number,2024-11-04,CAN,357.02,D456,B234,D456,Repeat Customer,"PSC 8630, Box 4390, APO AA 59149",1989-03-05,No Gender,Silver,Unsatisfied,2025-07-31,Basic,Email,2025-05-22 02:57:00,Invaild IP,Promo Free,300,Suspended,Shelly Schneider,First Purchase,53.8,177.0,11.8,23.0,1.0
4,1046, Sean  Morgan,coryphillips@gmail.com,Invaild Phone Number,2025-02-17,USA,322.4,B234,A123,No Code,Repeat Customer,"4581 Perez Rue, Holtfort, CT 87202",1967-03-14,M,Gold,Excellent,2024-11-28,Premium,Phone,2025-08-12 13:19:00,Invaild IP,Promo Free,300,Active,Nathaniel Brown,First Purchase,58.6,162.0,20.8,26.5,0.56
5,1043,Jennifer  Patterson ,turnerdiana@gmail.com,Invaild Phone Number,2024-01-24,USA,340.25,C345,No Code,No Code,Complaint Free,"474 Gomez Fort, Smithhaven, MA 10844",1984-08-29,No Gender,Silver,Excellent,2025-01-05,Basic,None,2025-09-13 07:21:00,Invaild IP,SUMMER2023,276,Inactive,Jennifer Patterson,No Comment,65.9,166.88,5.6,28.89,0.97
6,1082,  Curtis  Johnson  ,jamiewilson@gmail.com,Invaild Phone Number,2024-01-06,CAN,316.77,A123,B234,A123,Late Payment,"USNV Butler, FPO AA 22593",1992-02-20,F,Gold,Neutral,2025-05-23,Premium,Phone,2025-03-12 11:34:00,Invaild IP,FREE50,-10,Active,Brenda Edwards, Missing Phone,25.17,179.07,12.24,28.4,0.81
7,1069,Ashley Ward,joseph47@gmail.com,Invaild Phone Number,2025-05-17,USA,278.33,A123,B234,No Code,Complaint Free,"Unit 8230 Box 9804, DPO AP 48540",1966-07-10,F,Silver,Indecisive,2024-11-30,Basic,Phone,2025-06-09 13:20:00,Invaild IP,WELCOME20,300,Inactive,David Lane,No Comment,82.6,197.0,28.71,22.72,1.13
8,1089, Kevin Carlson  ,jessica93@gmail.com,Invaild Phone Number,2024-02-17,USA,103.36,D456,No Code,No Code,Complaint Free,"PSC 9648, Box 5223, APO AE 29642",1992-09-04,No Gender,Gold,Indecisive,2025-03-22,Basic,Phone,2025-08-25 00:00:00,Invaild IP,SAVE10,300,Inactive,Kevin Carlson,Check Address,82.4,189.99,47.9,25.0,1.07
9,1038,Amy Velazquez,charles39@gmail.com,Invaild Phone Number,2024-02-03,USA,452.21,B234,No Code,No Code,Complaint Free,"182 Rivera Mountains, Camachohaven, NC 08101",1997-05-20,M,Gold,Unsatisfied,2025-07-27,Basic,Phone,2025-04-14 22:24:00,Invaild IP,SUMMER2023,300,Active,Jamesramirez,Check Address,22.68,184.0,27.03,28.72,1.03
