CustomerID,Name,Email,Phone,Date Joined,Country,Purchase Amount,Product Codes,Notes,Address,DOB,Gender,Membership,Feedback,Last Purchase Date,Subscription Plan,Preferred Contact,Last Login,IP Address,Promo Code,Loyalty Points,Account Status,Referral,Notes2,Weight,Height,Distance Travelled,Temperature,Volume
1008, amanda  stevens ,kristinawoods@hotmail.com,262-963-9196x8466,19-03-2025,uSa,249.73,"D456,C345,B234",repeat customer,"41546 Sandy Plains Suite 799, West Jaime, MA 58656",7/4/1973,M,silver,NA,5-Sep-25,Basic,email,5/23/2025 7:56,144.80.38.118,FREE50,300 pts,inactive,,check address,80.6 kg,70.1 inches,19.8 km,82.8 F,3.83 gallon
1012,kenneth  marshall  ,annabrown@allen-clayton.com,001-897-496-4888x960,16-Apr-25,USA,,"B234,D456,D456",,"17398 Young Branch Suite 608, Arianachester, TX 91852",5/28/1971,,,unsatisfied,1/7/2025,None,,3/27/2025 18:34,192.217.207.58,,489,inactive,johnsonmark@miles-lynch.org,null,99.9 lbs,75.6 inches,27.8 miles,77.7 F,4220 ml
1078,  Elizabeth  wilkins ,sevans@gmail.com,409-831-9420x349,2023.09.03,Usa,289.82,"A123,C345,C345",null,"6703 Megan Square, Chaseview, AL 77844",8/7/1989,m,silver,satisfied,8-Sep-25,Basic,phn,3/1/2025 22:38,139.23.183.69,SUMMER2023,369,inactive,,,89.6 kg,1.63 m,44.9 km,27.7 C,2.84 gallon
1059, shelly schneider,tom51@jenkins.com,+1-776-476-2739x813,4/11/2024,CAN,357.02,"D456,B234,D456",repeat customer,"PSC 8630, Box 4390, APO AA 59149",5/3/1989,,None,unsatisfied,31-Jul-25,None,e-mail,22-05-2025 02:57,207.78.74.135,,N/A,Suspended,,first purchase,53800 g,177 cm,11.8 miles,23.0 C,3770 ml
1046, sean  morgan,coryphillips@newman-davis.biz,-3955,2025.02.17,usa,322.4,"B234,A123",repeat customer,"4581 Perez Rue, Holtfort, CT 87202",3/14/1967,m,Gold,excellent,28-Nov-24,Premium,phone,12/8/2025 13:19,126.82.191.9,,null,,Nathaniel Brown,first purchase,58600 g,1.62 m,20.8 miles,26.5 C,2.12 L
1043,Jennifer  patterson ,turnerdiana@hotmail.com,-8182,2024.01.24,USA,340.25,C345,null,"474 Gomez Fort, Smithhaven, MA 10844",29-08-1984,,,excellent,5/1/2025,None,none,13-09-2025 07:21,149.95.162.252,SUMMER2023,276,Inactive,,null,65900 g,65.7 inches,5.6 miles,84.0 F,3.66 L
1082,"  curtis	 johnson  ",jamiewilson@hotmail.com,001-034-065-0659x857,6/1/2024,CAN,316.77,"A123,B234,A123",late payment,"USNV Butler, FPO AA 22593",20-02-1992,F,gold,neutral,23-May-25,premium,phn,12/3/2025 11:34,195.236.194.99,FREE50,-10,Active,Brenda Edwards,?? missing phone,55.5 lbs,70.5 inches,19.7 km,28.4 C,3.07 L
1069,Ashley_ward,joseph47@hotmail.com,+1-921-604-2063x607,5/17/2025,USA,,"A123,B234",null,"Unit 8230 Box 9804, DPO AP 48540",10.07.1966,F,,NA,30-Nov-24,basic,phn,9/6/2025 13:20,96.45.172.129,WELCOME20,,inactive,David Lane,NA,82.6 kg,197 cm,46.2 km,72.9 F,4.27 L
1089, kevin carlson  ,jessica93@weeks.com,001-226-784-5084,17-02-2024,usa,103.36,D456,NA,"PSC 9648, Box 5223, APO AE 29642",4/9/1992,,gold,null,22-03-2025,basic,phone,8/25/2025 0:00,172.25.137.174,SAVE10,,inactive,,check address,82400 g,74.8 inches,47.9 miles,77.0 F,4040 ml
1038,Amy_velazquez,charles39@@hotmail.com,4063660070,3/2/2024,Usa,452.21,B234,,"182 Rivera Mountains, Camachohaven, NC 08101",20.05.1997,m,Gold,unsatisfied,7/27/2025,Basic,phone,4/14/2025 22:24,99.227.171.23,SUMMER2023,N/A,Active,jamesramirez@thompson.com,check address,50.0 lbs,1.84 m,43.5 km,83.7 F,3900 ml
